2666,2666,72000,1,1,1,0, 8.821066e-01,8.813839e-01,8.823960e-01,8.826079e-01,4.918420e-01,8.528948e-03
2285,2285,98000,1,1,1,0, 9.715987e-01,9.699142e-01,9.724581e-01,9.714754e-01,5.694182e-01,6.247997e-03
2000,2000,128000,1,1,1,0, 1.078614e+00,1.076297e+00,1.080561e+00,1.079480e+00,6.496050e-01,4.822016e-03
1777,1777,162000,1,1,1,0, 1.174615e+00,1.166592e+00,1.177458e+00,1.175965e+00,7.278819e-01,3.791094e-03
1600,1600,200000,1,1,1,0, 1.241816e+00,1.239891e+00,1.244794e+00,1.240535e+00,8.090510e-01,3.077030e-03
1454,1454,242000,1,1,1,0, 1.375268e+00,1.367612e+00,1.384792e+00,1.370500e+00,8.868699e-01,2.546072e-03
1333,1333,288000,1,1,1,0, 1.488092e+00,1.484877e+00,1.490640e+00,1.489058e+00,9.677739e-01,2.143860e-03
1230,1230,338000,1,1,1,0, 1.762817e+00,1.743813e+00,1.783828e+00,1.759140e+00,1.046681e+00,1.830101e-03
1142,1142,392000,1,1,1,0, 1.796682e+00,1.776399e+00,1.815071e+00,1.788601e+00,1.127770e+00,1.581907e-03
1066,1066,450000,1,1,1,0, 1.960225e+00,1.932094e+00,1.990790e+00,1.957681e+00,1.208972e+00,1.381159e-03
1000,1000,512000,1,1,1,0, 2.065659e+00,2.041909e+00,2.088290e+00,2.084283e+00,1.288190e+00,1.219988e-03
12000,12000,12000,1,1,1,0, 1.874577e+00,1.874018e+00,1.875349e+00,1.874159e+00,5.430729e-01,1.717191e-01
18000,18000,5333,1,1,1,0, 2.225020e+00,2.224048e+00,2.226861e+00,2.224817e+00,6.486990e-01,3.869798e-01
24000,24000,3000,1,1,1,0, 2.777252e+00,2.776586e+00,2.777772e+00,2.777730e+00,9.048469e-01,6.880419e-01
30000,30000,1920,1,1,1,0, 3.588331e+00,3.587727e+00,3.589149e+00,3.588138e+00,1.275874e+00,1.073619e+00
36000,36000,1333,1,1,1,0, 4.564106e+00,4.563741e+00,4.564530e+00,4.564339e+00,1.748840e+00,1.546018e+00
42000,42000,979,1,1,1,0, 5.751621e+00,5.751309e+00,5.751909e+00,5.751605e+00,2.320251e+00,2.103891e+00
48000,48000,750,1,1,1,0, 7.798406e+00,7.767848e+00,7.801277e+00,7.767848e+00,2.985846e+00,2.749612e+00
8000,8000,27000,1,1,1,0, 1.839687e+00,1.839019e+00,1.840666e+00,1.839436e+00,6.231411e-01,7.632780e-02
6000,6000,48000,1,1,1,0, 2.015800e+00,2.003490e+00,2.021463e+00,2.013023e+00,7.691219e-01,4.299402e-02
4800,4800,75000,1,1,1,0, 2.225033e+00,2.217331e+00,2.235007e+00,2.232126e+00,9.336829e-01,2.750802e-02
4000,4000,108000,1,1,1,0, 2.451959e+00,2.445461e+00,2.456117e+00,2.445461e+00,1.105438e+00,1.911402e-02
3428,3428,147000,1,1,1,0, 2.631998e+00,2.622434e+00,2.644265e+00,2.628163e+00,1.281338e+00,1.404214e-02
3000,3000,192000,1,1,1,0, 3.068861e+00,3.014405e+00,3.100335e+00,3.027006e+00,1.459183e+00,1.081681e-02
2666,2666,243000,1,1,1,0, 3.365238e+00,3.296006e+00,3.428040e+00,3.396061e+00,1.636988e+00,8.512020e-03
2400,2400,300000,1,1,1,0, 3.652155e+00,3.605341e+00,3.696359e+00,3.694004e+00,1.816744e+00,6.937027e-03
2181,2181,363000,1,1,1,0, 4.211193e+00,4.137042e+00,4.248884e+00,4.168407e+00,1.995579e+00,5.716085e-03
2000,2000,432000,1,1,1,0, 4.572503e+00,4.490770e+00,4.657808e+00,4.548736e+00,2.176133e+00,4.792929e-03
1846,1846,507000,1,1,1,0, 4.471344e+00,4.421707e+00,4.523536e+00,4.488454e+00,2.356605e+00,4.106998e-03
1714,1714,588000,1,1,1,0, 4.830480e+00,4.681449e+00,4.930570e+00,4.924412e+00,2.536253e+00,3.548861e-03
1600,1600,675000,1,1,1,0, 5.100227e+00,5.057744e+00,5.148381e+00,5.209851e+00,2.717269e+00,3.079176e-03
1500,1500,768000,1,1,1,0, 5.345212e+00,5.263088e+00,5.443117e+00,5.489596e+00,2.898618e+00,2.708912e-03
4096,4096,4096,1,1,1,0, 1.281205e-01,1.279311e-01,1.282589e-01,1.280038e-01,6.326199e-02,2.004600e-02
8192,8192,8192,1,1,1,0, 6.831434e-01,6.830549e-01,6.831739e-01,6.830549e-01,2.531500e-01,8.034396e-02
12288,12288,12288,1,1,1,0, 1.983165e+00,1.982530e+00,1.983641e+00,1.983126e+00,5.693021e-01,1.801810e-01
16384,16384,16384,1,1,1,0, 4.090146e+00,4.089612e+00,4.090594e+00,4.090758e+00,1.011859e+00,3.203351e-01
4096,4096,4096,1,1,0,0, 8.707424e-02,8.686924e-02,8.719134e-02,8.718610e-02,4.220510e-02,4.053116e-06
